02:55:36 - === meshy_upload.php started ===
02:55:36 - POST data
02:55:36 - FILES data | "YES"
02:55:36 - Using uploaded files mode
02:55:36 - Upload file loaded | {"name":"lumpia.jpg","type":"image\/jpeg","size":3940020,"hash":"e3233816006af20ef605c292d2d83234"}
02:55:36 - No duplicate found, proceeding with API call
02:55:36 - Data URI created | {"length":5253383}
02:55:36 - JSON payload size: 5312831 bytes
02:56:30 - API Response | {"code":202,"response":"{\"result\":\"019a476e-1bab-77c8-b25b-8a90e9c54d3f\"}"}
02:56:30 - Task created successfully: 019a476e-1bab-77c8-b25b-8a90e9c54d3f
02:56:30 - Database record created for task: 019a476e-1bab-77c8-b25b-8a90e9c54d3f
02:56:30 - === meshy_upload.php completed ===
02:56:30 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:56:31 - API Response | {"code":200}
02:56:31 - Task state | {"status":"in_progress"}
02:56:41 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:56:42 - API Response | {"code":200}
02:56:42 - Task state | {"status":"in_progress"}
02:56:52 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:56:53 - API Response | {"code":200}
02:56:53 - Task state | {"status":"in_progress"}
02:57:03 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:57:04 - API Response | {"code":200}
02:57:04 - Task state | {"status":"in_progress"}
02:57:14 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:57:15 - API Response | {"code":200}
02:57:15 - Task state | {"status":"in_progress"}
02:57:25 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:57:26 - API Response | {"code":200}
02:57:26 - Task state | {"status":"in_progress"}
02:57:36 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:57:37 - API Response | {"code":200}
02:57:37 - Task state | {"status":"in_progress"}
02:57:47 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:57:48 - API Response | {"code":200}
02:57:48 - Task state | {"status":"in_progress"}
02:57:58 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:58:02 - API Response | {"code":200}
02:58:02 - Task state | {"status":"in_progress"}
02:58:12 - Checking status | {"task_id":"019a476e-1bab-77c8-b25b-8a90e9c54d3f"}
02:58:12 - API Response | {"code":200}
